index	moves	attacks	slots	allowed	solution_count	board	first_solution	solutions
1	2	3	2	IMA,LAA,LMA	5	@EEE\nEE..\n....\n....	AR | AD | S1 | MR | R1(LAA-R/D) | MR | AR	AR | AD | S1 | MR | R1(LAA-R/D) | MR | AR || AR | AD | MR | AR | S1 | S2 | R2(LAA-R/D) | R1(IMA-R) || AR | MR | S1 | AD | R1(IMA-R) | AR | MD | S1 | R1(IMA-L) || AR | MR | S1 | AD | R1(IMA-R) | AR | ML | S1 | R1(LMA-D/L) || AR | MR | S1 | AD | R1(IMA-R) | AR | ML | S1 | R1(LMA-L/D)
2	2	3	2	IMA,LAA,LMA	5	@EEE\nE.E.\n....\n....	AR | AD | MR | AR | MR | R2(LAA-R/D)	AR | AD | MR | AR | MR | R2(LAA-R/D) || AD | AR | MR | AR | MR | R1(LAA-R/D) || AR | AD | MR | AR | MR | S1 | R2(LAA-R/D) || AR | AD | MR | AR | S1 | MR | R2(LAA-R/D) || AD | AR | MR | AR | MR | S2 | R1(LAA-R/D)
3	2	3	2	IMA,LAA,LMA	5	@EEE\nE..E\n....\n....	AR | AD | MR | AR | MR | S1 | R1(IMA-R) | R2(LAA-R/D)	AR | AD | MR | AR | MR | S1 | R1(IMA-R) | R2(LAA-R/D) || AR | AD | MR | AR | S1 | MR | R1(IMA-R) | R2(LAA-R/D) || AR | AD | MR | AR | S1 | MD | R1(IMA-R) | R2(LAA-U/R) || AR | AD | MR | AR | S1 | S2 | R1(IMA-R) | R2(LAA-R/D) || AR | AD | MR | AR | S1 | R1(IMA-R) | ML | S2 | R2(LMA-R/D)
4	2	3	2	IMA,LAA,LMA	5	@EEE\nE...\nE...\n....	AR | AD | MD | AD | S2 | MU | R2(IMA-R) | R1(LAA-U/R)	AR | AD | MD | AD | S2 | MU | R2(IMA-R) | R1(LAA-U/R) || AR | AD | MD | S1 | AD | MR | S2 | R1(LMA-R/U) | R2(LMA-U/R) || AR | AD | MD | S1 | AD | MR | S2 | R1(LMA-R/U) | R2(LMA-R/U) || AD | MD | AD | S1 | MR | AU | S2 | R2(LMA-U/R) | R1(IMA-R) || AR | AD | MD | S1 | AD | MR | S2 | R1(LMA-R/U) | S1 | R2(LMA-U/R)
5	2	3	2	IMA,LAA,LMA	5	@EEE\nE...\n.E..\n....	AR | MR | S1 | R1(IMA-R) | AR | MD | S1 | R1(LMA-L/D) | AL	AR | MR | S1 | R1(IMA-R) | AR | MD | S1 | R1(LMA-L/D) | AL || AR | AD | MR | S1 | R1(IMA-R) | AR | MD | S1 | R1(LMA-D/L) || AR | AD | MR | S1 | R1(IMA-R) | AR | MD | S1 | R1(LMA-L/D) || AR | AD | MR | S2 | MD | S1 | AD | R1(LMA-R/U) | R2(LMA-U/R) || AR | AD | MR | S2 | MD | S1 | AD | R1(LMA-R/U) | R2(LMA-R/U)
6	2	3	2	IMA,LAA,LMA	5	@EEE\nE...\n..E.\n....	AR | AD | MR | AR | MR | S1 | R2(LAA-U/R) | R1(IMA-D)	AR | AD | MR | AR | MR | S1 | R2(LAA-U/R) | R1(IMA-D) || AR | AD | MR | AR | S1 | MR | R2(LAA-U/R) | R1(IMA-D) || AR | AD | MR | AR | S1 | R1(IMA-R) | MD | S1 | R1(LMA-D/L) || AR | AD | MR | AR | S1 | R1(IMA-R) | MD | S1 | R1(LMA-L/D) || AR | AD | MR | S1 | R1(IMA-R) | AR | MD | S2 | R2(IMA-D)
7	2	3	2	IMA,LAA,LMA	5	@EEE\nE...\n...E\n....	AR | AD | MR | AR | S1 | S2 | R1(IMA-R) | MD | R2(LAA-R/D)	AR | AD | MR | AR | S1 | S2 | R1(IMA-R) | MD | R2(LAA-R/D) || AR | AD | MR | AR | S1 | R1(IMA-R) | MD | S2 | R2(IMA-D) || AR | AD | MR | S1 | R1(IMA-R) | AR | MR | S1 | R1(IMA-D) || AR | AD | MR | S1 | R1(IMA-R) | AR | MD | S1 | R1(LMA-R/D) || AR | AD | MR | S1 | R1(IMA-R) | AR | MD | S1 | R1(LMA-D/R)
8	2	3	2	IMA,LAA,LMA	2	@EEE\nE...\n....\n..E.	AR | AD | MR | S1 | R1(IMA-R) | AR | MD | S2 | R2(IMA-D)	AR | AD | MR | S1 | R1(IMA-R) | AR | MD | S2 | R2(IMA-D) || AD | AR | MR | S2 | R2(IMA-R) | AR | MD | S1 | R1(IMA-D)
9	2	3	2	IMA,LAA,LMA	2	@EEE\nE...\n....\n...E	AR | AD | MR | AR | S1 | R1(IMA-R) | MD | S2 | R2(IMA-D)	AR | AD | MR | AR | S1 | R1(IMA-R) | MD | S2 | R2(IMA-D) || AD | AR | MR | AR | S2 | R2(IMA-R) | MD | S1 | R1(IMA-D)
10	2	3	2	IMA,LAA,LMA	5	@EEE\n.EE.\n....\n....	AR | MR | AR | AD | MR | R2(LAA-R/D)	AR | MR | AR | AD | MR | R2(LAA-R/D) || AR | MR | AR | AD | MR | S1 | R2(LAA-R/D) || AR | MR | AR | AD | S1 | MR | R1(LAA-R/D) || AR | MR | AR | S1 | AD | MR | R2(LAA-R/D) || AR | MR | AR | AD | MR | S1 | R2(LAA-U/R) | R1(IMA-D)
