index	solution_index	moves	attacks	slots	allowed	solution_count	board	solution
1	1	2	3	2	IMA,LAA,LMA	5	..EE\n..E.\n.E.@\n...E	AD | MU | AU | AL | ML | S1 | R2(LAA-U/R) | R1(LMA-L/D)
1	2	2	3	2	IMA,LAA,LMA	5	..EE\n..E.\n.E.@\n...E	AD | ML | AU | S1 | AL | MU | R2(LAA-U/R) | R1(LMA-R/U)
1	3	2	3	2	IMA,LAA,LMA	5	..EE\n..E.\n.E.@\n...E	AD | MU | AU | AL | S1 | ML | S2 | R1(LAA-U/R) | R2(LMA-D/L)
1	4	2	3	2	IMA,LAA,LMA	5	..EE\n..E.\n.E.@\n...E	AD | ML | AU | AL | S1 | MU | S2 | R2(IMA-U) | R1(LAA-U/R)
1	5	2	3	2	IMA,LAA,LMA	5	..EE\n..E.\n.E.@\n...E	AD | ML | AU | AL | S1 | S2 | MU | R1(LAA-U/R) | R2(LMA-U/R)
2	1	2	3	2	IMA,LAA,LMA	1	EE..\n.E..\nE..E\n.@..	MU | AU | S1 | S1 | MR | AR | S2 | S2 | R1(IMA-L) | R2(IMA-U) | AR
3	1	2	3	2	IMA,LAA,LMA	3	@E.E\n....\n..E.\n..EE	AR | MR | S1 | MR | AR | S2 | S2 | R1(IMA-D) | R2(IMA-D) | AR
3	2	2	3	2	IMA,LAA,LMA	3	@E.E\n....\n..E.\n..EE	AR | MR | S1 | MR | AR | R1(IMA-D) | AD | S2 | S2 | R2(LMA-R/D)
3	3	2	3	2	IMA,LAA,LMA	3	@E.E\n....\n..E.\n..EE	AR | MR | S1 | MR | AR | S2 | R1(IMA-D) | AD | S1 | S1 | R1(LMA-R/D)
4	1	2	3	2	IMA,LAA,LMA	5	..EE\n....\n.E.E\n.@.E	AU | MR | AR | S2 | S2 | MU | AR | S1 | R2(IMA-U) | R1(LAA-U/R)
4	2	2	3	2	IMA,LAA,LMA	5	..EE\n....\n.E.E\n.@.E	AU | MR | AR | S2 | S2 | MU | S1 | AR | R1(IMA-U) | R2(IMA-R)
