index	moves	attacks	slots	allowed	solution_count	board	first_solution	solutions
1	1	3	2	IMA,LAA,LMA	1	@EEE\nEE..\n....\n....	AR | AD | MR | AR | S1 | S2 | R2(LAA-R/D) | R1(IMA-R)	AR | AD | MR | AR | S1 | S2 | R2(LAA-R/D) | R1(IMA-R)
2	2	3	2	IMA,LAA,LMA	5	@EEE\nEE..\n....\n....	AR | AD | S1 | MR | R1(LAA-R/D) | MR | AR	AR | AD | S1 | MR | R1(LAA-R/D) | MR | AR || AR | AD | MR | AR | S1 | S2 | R2(LAA-R/D) | R1(IMA-R) || AR | MR | S1 | AD | R1(IMA-R) | AR | MD | S1 | R1(IMA-L) || AR | MR | S1 | AD | R1(IMA-R) | AR | ML | S1 | R1(LMA-D/L) || AR | MR | S1 | AD | R1(IMA-R) | AR | ML | S1 | R1(LMA-L/D)
3	3	3	2	IMA,LAA,LMA	5	@EEE\nEE..\n....\n....	AR | AD | S1 | MR | R1(LAA-R/D) | MR | AR	AR | AD | S1 | MR | R1(LAA-R/D) | MR | AR || AR | AD | MR | AR | S1 | S2 | R2(LAA-R/D) | R1(IMA-R) || AR | MR | AR | ML | AD | MR | S1 | R2(LAA-R/D) | R1(IMA-R) || AR | MR | AR | AD | MR | S1 | R2(LAA-U/R) | MD | R1(IMA-L) || AR | MR | AR | AD | MD | S1 | R2(LAA-U/L) | MR | R1(LMA-U/R)
4	1	3	2	IMA,LAA,LMA	1	@EEE\nE.E.\n....\n....	AR | AD | MR | S1 | R1(IMA-R) | AR | S2 | R2(LAA-R/D)	AR | AD | MR | S1 | R1(IMA-R) | AR | S2 | R2(LAA-R/D)
5	2	3	2	IMA,LAA,LMA	5	@EEE\nE.E.\n....\n....	AR | AD | MR | AR | MR | R2(LAA-R/D)	AR | AD | MR | AR | MR | R2(LAA-R/D) || AD | AR | MR | AR | MR | R1(LAA-R/D) || AR | AD | MR | AR | MR | S1 | R2(LAA-R/D) || AR | AD | MR | AR | S1 | MR | R2(LAA-R/D) || AD | AR | MR | AR | MR | S2 | R1(LAA-R/D)
6	3	3	2	IMA,LAA,LMA	5	@EEE\nE.E.\n....\n....	AR | AD | MR | AR | MR | R2(LAA-R/D)	AR | AD | MR | AR | MR | R2(LAA-R/D) || AD | AR | MR | AR | MR | R1(LAA-R/D) || AR | AD | MR | AR | MR | S1 | R2(LAA-R/D) || AR | AD | MR | AR | S1 | MR | R2(LAA-R/D) || AD | AR | MR | AR | MR | S2 | R1(LAA-R/D)
7	1	3	2	IMA,LAA,LMA	1	@EEE\nE..E\n....\n....	AR | AD | MR | AR | S1 | S2 | R1(IMA-R) | R2(LAA-R/D)	AR | AD | MR | AR | S1 | S2 | R1(IMA-R) | R2(LAA-R/D)
8	2	3	2	IMA,LAA,LMA	5	@EEE\nE..E\n....\n....	AR | AD | MR | AR | MR | S1 | R1(IMA-R) | R2(LAA-R/D)	AR | AD | MR | AR | MR | S1 | R1(IMA-R) | R2(LAA-R/D) || AR | AD | MR | AR | S1 | MR | R1(IMA-R) | R2(LAA-R/D) || AR | AD | MR | AR | S1 | MD | R1(IMA-R) | R2(LAA-U/R) || AR | AD | MR | AR | S1 | S2 | R1(IMA-R) | R2(LAA-R/D) || AR | AD | MR | AR | S1 | R1(IMA-R) | ML | S2 | R2(LMA-R/D)
9	3	3	2	IMA,LAA,LMA	5	@EEE\nE..E\n....\n....	AR | AD | MR | AR | MR | S1 | R1(IMA-R) | R2(LAA-R/D)	AR | AD | MR | AR | MR | S1 | R1(IMA-R) | R2(LAA-R/D) || AR | AD | MR | AR | S1 | MR | R1(IMA-R) | R2(LAA-R/D) || AR | AD | MR | AR | S1 | MD | R1(IMA-R) | R2(LAA-U/R) || AR | AD | MR | AR | S1 | S2 | R1(IMA-R) | R2(LAA-R/D) || AR | MR | AR | ML | AD | MR | S1 | R1(IMA-R) | R2(LAA-R/D)
10	2	3	2	IMA,LAA,LMA	5	@EEE\nE...\nE...\n....	AR | AD | MD | AD | S2 | MU | R2(IMA-R) | R1(LAA-U/R)	AR | AD | MD | AD | S2 | MU | R2(IMA-R) | R1(LAA-U/R) || AR | AD | MD | S1 | AD | MR | S2 | R1(LMA-R/U) | R2(LMA-U/R) || AR | AD | MD | S1 | AD | MR | S2 | R1(LMA-R/U) | R2(LMA-R/U) || AD | MD | AD | S1 | MR | AU | S2 | R2(LMA-U/R) | R1(IMA-R) || AR | AD | MD | S1 | AD | MR | S2 | R1(LMA-R/U) | S1 | R2(LMA-U/R)
