index	solution_index	moves	attacks	slots	allowed	solution_count	board	solution
1	1	2	3	2	IMA,LAA,LMA	3	.E..\n..EE\n@.E.\nE...	AD | MU | MR | AU | AR | S1 | S2 | R2(LMA-R/U) | R1(LAA-R/D)
1	2	2	3	2	IMA,LAA,LMA	3	.E..\n..EE\n@.E.\nE...	AD | MR | S1 | MU | AU | AR | S2 | R1(LMA-R/D) | R2(LAA-U/R)
1	3	2	3	2	IMA,LAA,LMA	3	.E..\n..EE\n@.E.\nE...	AD | MR | S1 | AR | R1(LMA-U/R) | AU | S1 | MR | R1(LAA-U/R)
2	1	2	3	2	IMA,LAA,LMA	6	EE..\n..@E\nE.E.\n....	AR | AD | ML | AU | S1 | S2 | R2(LMA-L/D) | R1(LAA-U/R)
2	2	2	3	2	IMA,LAA,LMA	6	EE..\n..@E\nE.E.\n....	AR | AD | ML | ML | AU | S1 | S2 | R1(LAA-R/D) | R2(LMA-R/U)
2	3	2	3	2	IMA,LAA,LMA	6	EE..\n..@E\nE.E.\n....	AR | AD | ML | S2 | ML | AU | S1 | R1(LAA-R/D) | R2(LMA-R/U)
2	4	2	3	2	IMA,LAA,LMA	6	EE..\n..@E\nE.E.\n....	AR | AD | ML | S2 | R2(LMA-L/D) | AU | S1 | MU | R1(LAA-U/R)
2	5	2	3	2	IMA,LAA,LMA	6	EE..\n..@E\nE.E.\n....	AR | AD | ML | S2 | R2(LMA-L/D) | AU | S1 | MR | R1(LAA-U/R)
2	6	2	3	2	IMA,LAA,LMA	6	EE..\n..@E\nE.E.\n....	AR | AD | S1 | ML | ML | AU | S2 | S2 | R1(LAA-R/D) | R2(LMA-U/R)
3	1	2	3	2	IMA,LAA,LMA	1	..@.\n.EE.\n..EE\n...E	AD | MD | AL | S1 | R1(LAA-R/D) | MD | AR | S1 | S1 | R1(LMA-D/R)
4	1	2	3	2	IMA,LAA,LMA	3	....\n.EE@\n...E\n.EE.	AD | AL | ML | AL | MD | S2 | R1(LAA-R/D) | R2(LMA-D/L)
