code	title	zone	resources	slots	allowed	solution_count	status	solution_index	solution	detail_file
1-1	L-Strike	1	0M/2A	1	LAA	1	ok	1	AU | AR | S1 | R1(LAA-U/L)	D:\DIR_02\godot_project\tools\solver_outputs\solve_1-1.txt
1-2	Align	1	0M/2A	1	LAA	1	ok	1	AU | AR | S1 | R1(LAA-D/L)	D:\DIR_02\godot_project\tools\solver_outputs\solve_1-2.txt
1-3	Reposition	1	1M/2A	1	LAA	1	ok	1	AU | AL | ML | R1(LAA-U/L)	D:\DIR_02\godot_project\tools\solver_outputs\solve_1-3.txt
1-4	Buffer	1	1M/2A	1	LAA	1	ok	1	AU | ML | AL | S1 | R1(LAA-U/R)	D:\DIR_02\godot_project\tools\solver_outputs\solve_1-4.txt
1-5	Extend	1	2M/2A	1	LAA	1	ok	1	AL | MU | MR | AU | S1 | R1(LAA-R/D)	D:\DIR_02\godot_project\tools\solver_outputs\solve_1-5.txt
1-6	Return	1	2M/2A	1	LAA	3	ok	1	AU | MR | AR | MD | R1(LAA-U/L)	D:\DIR_02\godot_project\tools\solver_outputs\solve_1-6.txt
1-6	Return	1	2M/2A	1	LAA	3	ok	2	AU | MR | AR | ML | R1(LAA-R/D)	D:\DIR_02\godot_project\tools\solver_outputs\solve_1-6.txt
1-6	Return	1	2M/2A	1	LAA	3	ok	3	AD | MR | AR | MU | R1(LAA-U/L)	D:\DIR_02\godot_project\tools\solver_outputs\solve_1-6.txt
1-7	Corner	1	2M/2A	1	LAA	2	ok	1	AL | ML | AU | MU | R1(LAA-U/R)	D:\DIR_02\godot_project\tools\solver_outputs\solve_1-7.txt
1-7	Corner	1	2M/2A	1	LAA	2	ok	2	MU | AL | ML | AU | S1 | R1(LAA-R/D)	D:\DIR_02\godot_project\tools\solver_outputs\solve_1-7.txt
1-8	Pair	1	2M/2A	1	LAA	1	ok	1	AL | MR | AD | MU | R1(LAA-U/L)	D:\DIR_02\godot_project\tools\solver_outputs\solve_1-8.txt
1-9	Sequence	1	2M/3A	1	LAA	2	ok	1	AU | MD | AR | AL | MR | R1(LAA-U/R)	D:\DIR_02\godot_project\tools\solver_outputs\solve_1-9.txt
1-9	Sequence	1	2M/3A	1	LAA	2	ok	2	AU | MD | AL | AR | MR | R1(LAA-U/R)	D:\DIR_02\godot_project\tools\solver_outputs\solve_1-9.txt
2-1	Tackle	2	1M/1A	1	IMA,LAA	1	ok	1	MU | AU | S1 | S1 | R1(IMA-U)	D:\DIR_02\godot_project\tools\solver_outputs\solve_2-1.txt
2-2	Dual	2	1M/1A	1	IMA,LAA	1	ok	1	AU | MU | S1 | R1(IMA-U)	D:\DIR_02\godot_project\tools\solver_outputs\solve_2-2.txt
2-3	Stop	2	1M/1A	1	IMA,LAA	1	ok	1	AU | MU | S1 | R1(IMA-U)	D:\DIR_02\godot_project\tools\solver_outputs\solve_2-3.txt
2-4	Aim	2	1M/1A	1	IMA,LAA	1	ok	1	MU | AU | S1 | S1 | R1(IMA-L)	D:\DIR_02\godot_project\tools\solver_outputs\solve_2-4.txt
2-5	Reverse	2	1M/1A	1	IMA,LAA	1	ok	1	MD | AD | S1 | S1 | R1(IMA-U)	D:\DIR_02\godot_project\tools\solver_outputs\solve_2-5.txt
2-6	Approach	2	2M/1A	1	IMA,LAA	1	ok	1	MU | ML | AL | S1 | S1 | R1(IMA-U)	D:\DIR_02\godot_project\tools\solver_outputs\solve_2-6.txt
2-7	Dash	2	2M/2A	1	IMA,LAA	1	ok	1	MU | AR | MR | S1 | R1(IMA-U) | AR	D:\DIR_02\godot_project\tools\solver_outputs\solve_2-7.txt
2-8	Step	2	1M/2A	1	IMA,LAA	1	ok	1	MR | AR | S1 | S1 | R1(IMA-U) | AR	D:\DIR_02\godot_project\tools\solver_outputs\solve_2-8.txt
2-9	Pivot	2	2M/2A	1	IMA,LAA	1	ok	1	AR | MR | S1 | R1(IMA-U) | AU | MU | S1 | R1(IMA-R)	D:\DIR_02\godot_project\tools\solver_outputs\solve_2-9.txt
3-1	Jump	3	2M/2A	2	IMA,LAA	1	ok	1	AU | AR | MU | S1 | MR | S2 | R1(IMA-U) | R2(IMA-R)	D:\DIR_02\godot_project\tools\solver_outputs\solve_3-1.txt
3-2	Hop	3	2M/2A	2	IMA,LAA	1	ok	1	AU | AR | MR | S2 | R2(IMA-U) | MU | S1 | R1(IMA-R)	D:\DIR_02\godot_project\tools\solver_outputs\solve_3-2.txt
3-3	Cut in	3	1M/3A	2	IMA,LAA	1	ok	1	AR | MR | AR | AD | S1 | S2 | R2(IMA-D) | R1(LAA-D/L)	D:\DIR_02\godot_project\tools\solver_outputs\solve_3-3.txt
3-4	Crowded	3	1M/3A	2	IMA,LAA	1	ok	1	AU | AR | MU | AU | S1 | S2 | R1(IMA-R) | R2(LAA-U/R)	D:\DIR_02\godot_project\tools\solver_outputs\solve_3-4.txt
3-5	Hold	3	1M/3A	2	IMA,LAA	1	ok	1	AU | AD | AL | MU | S1 | R1(IMA-L) | R2(LAA-R/D)	D:\DIR_02\godot_project\tools\solver_outputs\solve_3-5.txt
3-6	Reserve	3	1M/3A	2	IMA,LAA	1	ok	1	AR | MR | S1 | AU | R1(IMA-D) | AR | S1 | R1(LAA-R/D)	D:\DIR_02\godot_project\tools\solver_outputs\solve_3-6.txt
3-7	Weave	3	2M/3A	2	IMA,LAA	10	ok	1	ML | AL | MU | AU | S2 | S2 | R2(IMA-R) | AU | S1 | R1(LAA-R/D)	D:\DIR_02\godot_project\tools\solver_outputs\solve_3-7.txt
3-7	Weave	3	2M/3A	2	IMA,LAA	10	ok	2	ML | AL | S1 | S1 | MU | AU | R1(IMA-R) | AU | S1 | R1(IMA-D)	D:\DIR_02\godot_project\tools\solver_outputs\solve_3-7.txt
3-7	Weave	3	2M/3A	2	IMA,LAA	10	ok	3	ML | AL | S1 | S1 | MU | AU | R1(IMA-R) | AD | S1 | R1(IMA-U)	D:\DIR_02\godot_project\tools\solver_outputs\solve_3-7.txt
3-7	Weave	3	2M/3A	2	IMA,LAA	10	ok	4	AR | ML | AL | S2 | S2 | MU | AU | S1 | R2(IMA-R) | R1(LAA-U/R)	D:\DIR_02\godot_project\tools\solver_outputs\solve_3-7.txt
